OBJ1664	Espada de Grihilwen
OBJ1921	Túnica de Bardo Imperial de 3ª Jerarquía (Bajos) (RM +5)
OBJ1924	Armadura de Gladiador Imperial de 3ª Jerarquía (RM +5)
OBJ1925	Armadura de Gladiador Imperial de 3ª Jerarquía (Bajos) (RM +5)
OBJ1926	Armadura de Paladín Imperial de 3ª Jerarquía (RM +5)
OBJ1927	Armadura de Paladín Imperial de 3ª Jerarquía (Bajos) (RM +5)
OBJ1930	Armadura de Mercenario Imperial de 3ª Jerarquía (RM +5)
OBJ1931	Armadura de Mercenario Imperial de 3ª Jerarquía (Bajos) (RM +5)
OBJ1934	Armadura de Guerrero Miliciano de 3ª Jerarquía (RM +5)
OBJ1935	Armadura de Guerrero Miliciano de 3ª Jerarquía (Bajos) (RM +5)
OBJ1936	Túnica de Hechicero Miliciano de 3ª Jerarquía (RM +5)
OBJ1937	Túnica de Hechicero Miliciano de 3ª Jerarquía (Bajos) (RM +5)
OBJ1938	Armadura de Defensa Imperial de 3ª Jerarquía (RM +5)
OBJ1939	Armadura de Defensa Imperial de 3ª Jerarquía (Bajos) (RM +5)
OBJ1940	Armadura de Defensa Caótica de 3ª Jerarquía (RM +5)
OBJ1941	Armadura de Defensa Caótica de 3ª Jerarquía (Bajos) (RM +5)
OBJ1951	Escudo Miliciano
OBJ1952	Escudo del Terror
OBJ1953	Báculo de la Hermandad (DM +5)
OBJ1954	Espada de Guerrero Miliciano
OBJ1983	Ropaje de Consagrado I
OBJ1984	Ropaje de Consagrado I (Bajos)
OBJ1985	Ropaje de Consagrado II
OBJ1986	Ropaje de Consagrado II (Bajos)
OBJ1987	Ropaje de Consagrado III
OBJ1988	Ropaje de Consagrado III (Bajos)
OBJ1989	Ropaje de Consagrado IV
OBJ1990	Ropaje de Consagrado IV (Bajos)
OBJ1991	Ropaje de Consagrado V
OBJ1992	Ropaje de Consagrado V (Bajos)
OBJ1993	Ropaje de Consagrado VI
OBJ1994	Ropaje de Consagrado VI (Bajos)
OBJ1995	Ropaje de Consagrado VII
OBJ1996	Ropaje de Consagrado VII (Bajos)
OBJ1997	Pendiente del Consagrado I
OBJ1998	Pendiente del Consagrado II
OBJ1999	Pendiente del Consagrado III
OBJ2000	Pendiente del Consagrado IV
OBJ2001	Pendiente del Consagrado V
OBJ2002	Pendiente del Consagrado VI
OBJ2003	Pendiente del Consagrado VII
